Descriptor,Importance,Descriptor Type,Description,Class
ntN,0.0001145005767932,ElectrotopologicalStateAtomTypeDescriptor,Count of atom-type E-State: #N,2D
PubchemFP741,0.0001130070388085,SMARTS patterns 2,Oc1cc(S)ccc1,FP
RDF25p,0.0001126795794672,RDFDescriptor,Radial distribution function - 025 / weighted by relative polarizabilities,3D
MATS3c,0.0001126029549034,AutocorrelationDescriptor,Moran autocorrelation - lag 3 / weighted by charges,2D
MDEC-34,0.0001124682552362,MDEDescriptor,Molecular distance edge between all tertiary and quaternary carbons ,2D
PubchemFP620,0.0001101481051393,SMARTS patterns,C:C-O-C-C,FP
RDF45i,0.0001094363509188,RDFDescriptor,Radial distribution function - 045 / weighted by relative first ionization potential,3D
MATS6p,0.0001091919109712,AutocorrelationDescriptor,Moran autocorrelation - lag 6 / weighted by polarizabilities,2D
SpMax3_Bhp,0.0001082314659829,BurdenModifiedEigenvaluesDescriptor,Largest absolute eigenvalue of Burden modified matrix - n 3 / weighted by relative polarizabilities,2D
piPC10,0.000106743888352,PathCountDescriptor,Conventional bond order ID number of order 10 (ln(1+x),2D
ATSC5m,0.0001064878298129,AutocorrelationDescriptor,Centered Broto-Moreau autocorrelation - lag 5 / weighted by mass,2D
TDB2s,0.0001057580340865,Autocorrelation3DDescriptor,3D topological distance based autocorrelation - lag 2 / weighted by I-state,3D
Mi,0.000104640376337,ConstitutionalDescriptor,Mean first first ionization potentials (scaled on carbon atom),2D
PubchemFP338,0.0001041327980839,"Atom Nearest Neighbors (""~"" bond, "":""bond aromaticity)",C(~C)(~C)(~H)(~N),FP
SpMax8_Bhe,0.0001038494914123,BurdenModifiedEigenvaluesDescriptor,Largest absolute eigenvalue of Burden modified matrix - n 8 / weighted by relative Sanderson electronegativities,2D
RDF45v,0.0001032448942572,RDFDescriptor,Radial distribution function - 045 / weighted by relative van der Waals volumes,3D
TDB2v,0.0001032000152235,Autocorrelation3DDescriptor,3D topological distance based autocorrelation - lag 2 / weighted by van der Waals volumes,3D
SC-6,0.0001031298702304,ChiClusterDescriptor,"Simple cluster, order 6",2D
RDF130e,0.0001013854823161,RDFDescriptor,Radial distribution function - 130 / weighted by relative Sanderson electronegativities,3D
ATSC5c,0.0001000417449341,AutocorrelationDescriptor,Centered Broto-Moreau autocorrelation - lag 5 / weighted by charges,2D
nTRing,9.981073596121436e-05,RingCountDescriptor,Number of rings (includes counts from fused rings),2D
